user_message,support_response,приказной_тон,отказ_помочь,наезды_оскорбления,канцелярит
Какая комиссия за снятие наличных?,"До 50 тысяч без комиссии. Удивительно, как вы вообще пользуетесь картой, не зная таких элементарных вещей из тарифа.",0,0,1,0
Не могу войти в личный кабинет.,"Сбросил вам пароль на телефон. Запишите его куда-нибудь, раз память подводит, чтобы опять не пришлось нам писать.",0,0,1,0
Почему списали 99 рублей?,"Это плата за уведомления, вы сами на нее согласились при оформлении. Читать надо было договор, а не просто подписи ставить.",0,0,1,0
Как закрыть ИИС?,"Процедура закрытия индивидуального инвестиционного счета была инициирована. Ваша некомпетентность в вопросах налогового законодательства поражает, ввиду чего настоятельно рекомендуем ознакомиться с нормативной базой.",0,0,1,1
Где взять справку для визы?,Формирование документа осуществляется в разделе «Справки». Из-за вашей вопиющей невнимательности вы не смогли самостоятельно локализовать столь очевидный функциональный элемент.,0,0,1,1
Мне не пришел кэшбэк.,Начисление бонусных баллов произведено корректно. Ваша неспособность произвести элементарные арифметические вычисления при подсчете суммы вознаграждения не является основанием для подачи жалобы.,0,0,1,1
Карта не читается в банкомате.,"Добрый день. Был инициирован перевыпуск пластикового носителя. Учитывая ваше халатное отношение к правилам эксплуатации микропроцессорных карт, подобный исход был вполне закономерен.",0,0,1,1
Хочу увеличить кредитный лимит.,"Запрос на расширение кредитного лимита направлен в профильный отдел. Однако, анализируя вашу финансовую безграмотность, положительное решение представляется крайне маловероятным.",0,0,1,1
Как посмотреть историю операций?,Откройте вкладку «История».,1,0,0,0
Не могу оплатить коммуналку по QR-коду.,"Включите камеру и наведите ее ровно на код, а не куда-то в сторону.",1,0,0,0
У меня поменялся паспорт.,Пришлите мне фото нового паспорта немедленно.,1,0,0,0
Где посмотреть кэшбэк?,Зайдите в раздел бонусов и посмотрите там.,1,0,0,0
Как закрыть вклад досрочно?,Нажмите кнопку «Закрыть вклад» и ждите смс-код.,1,0,0,0
Как поменять номер телефона?,Незамедлительно предоставьте заявление на модификацию персональных данных в ближайшее отделение кредитной организации.,1,0,0,1
Я потерял карту.,"Осуществите блокировку платежного инструмента посредством функционала мобильного приложения, после чего ожидайте уведомления о перевыпуске.",1,0,0,1
Где взять справку об отсутствии задолженности?,Сформируйте соответствующий запрос в подразделе электронного документооборота и ожидайте поступления файла.,1,0,0,1
Можно перевести деньги по номеру счета?,Введите двадцатизначный номер расчетного счета бенефициара и подтвердите транзакцию кодом авторизации.,1,0,0,1
Как узнать остаток по кредиту?,Ознакомьтесь с информацией о текущем размере ссудной задолженности во вкладке кредитных продуктов.,1,0,0,1
Как оплатить интернет?,Откройте раздел платежей и введите свой лицевой счет. Хватит задавать такие глупые вопросы.,1,0,1,0
Почему не работает Apple Pay?,"Достаньте пластиковую карту и платите ей. Если вы до сих пор не поняли, что сервис отключен, это диагноз.",1,0,1,0
Где реквизиты?,"Нажмите на карту и выберите «Реквизиты». Глаза разуйте, кнопка на половину экрана.",1,0,1,0
Забыл пароль от приложения.,"Жмите «Забыли пароль» на экране входа. Записывайте свои пароли, раз в голове ничего не держится.",1,0,1,0
Мне пришел перевод от неизвестного.,"Не трогайте эти деньги и ждите отмены. Не хватайте чужое, если не понимаете, откуда оно взялось.",1,0,1,0
Как отменить автоплатеж?,Произведите деактивацию услуги автоматического списания в настройках. Ваша техническая безграмотность не освобождает вас от необходимости самостоятельно управлять параметрами лицевого счета.,1,0,1,1
Не могу добавить карту в Mir Pay.,"Осуществите привязку платежного инструмента строго по инструкции. Учитывая ваш низкий уровень когнитивных способностей, неудивительно, что вы не смогли выполнить простейший алгоритм токенизации.",1,0,1,1
Где посмотреть договор обслуживания?,"Изучите нормативную документацию в соответствующем разделе портала. Ваше невежество в правовых вопросах поражает, поэтому немедленно приступайте к ознакомлению с текстом соглашения.",1,0,1,1
Почему комиссия за перевод?,Ознакомьтесь с действующими тарифами кредитной организации. Ваша неспособность к элементарному анализу финансовой информации вынуждает нас требовать от вас самостоятельного изучения документа.,1,0,1,1
Как получить выписку для налоговой?,Сформируйте запрос в модуле экспорта данных. Прекратите демонстрировать свою полнейшую некомпетентность и выполните генерацию фискального документа самостоятельно.,1,0,1,1
Не могу войти в приложение.,Попробуйте войти позже. Сейчас я не вижу других проблем.,0,0,0,0
Почему не прошёл перевод?,"Проверю информацию. Пока подождите, пожалуйста, несколько минут.",0,0,0,0
Как поменять номер телефона?,Это можно сделать в приложении или в офисе банка.,0,0,0,0
Когда придут деньги?,Обычно перевод занимает немного времени.,0,0,0,0
Где посмотреть реквизиты счёта?,"Откройте раздел со счетами, пожалуйста, и выберите нужный продукт.",0,0,0,0
Карта не добавляется в кошелёк.,Выполнение операции временно недоступно в связи с проведением технических работ.,0,0,0,1
Не открывается выписка.,Формирование документа осуществляется после обработки запроса системой.,0,0,0,1
Почему изменился лимит?,Изменение параметров обслуживания производится автоматически в соответствии с внутренними правилами банка.,0,0,0,1
Когда обновится баланс?,Отображение актуальной информации осуществляется после завершения обработки операций.,0,0,0,1
Как закрыть счёт?,Закрытие банковского счёта производится после выполнения предусмотренных процедур.,0,0,0,1
Мне списали комиссию.,Вы сами выбрали такой тариф.,0,0,1,0
Почему платёж не прошёл?,"Вы неверно всё заполнили, поэтому неудивительно, что ничего не получилось.",0,0,1,0
Я случайно перевёл не туда.,Стоило быть внимательнее перед отправкой денег.,0,0,1,0
Не могу найти историю операций.,Вы просто плохо ищете.,0,0,1,0
Почему приложение просит код ещё раз?,"Если бы вы внимательно читали подсказки, таких вопросов бы не возникло.",0,0,1,0
У меня исчезла карта из приложения.,Вероятность возникновения подобной ситуации обусловлена некорректными действиями пользователя.,0,0,1,1
Почему отклонили заявку?,Причиной отказа является допущенная вами невнимательность при заполнении сведений.,0,0,1,1
Не получается оплатить счёт.,Нарушение порядка выполнения операции произошло вследствие ваших ошибочных действий.,0,0,1,1
"Я не понимаю, почему не проходит вход.",Недостаточная внимательность пользователя не является основанием для изменения порядка обслуживания.,0,0,1,1
Куда пропал перевод?,Некорректное выполнение действий с вашей стороны привело к невозможности завершения операции.,0,0,1,1
Не приходит код.,Ждите.,1,0,0,0
Как обновить данные?,Откройте приложение и сделайте это сами.,1,0,0,0
Почему не работает перевод?,Перезагрузите телефон.,1,0,0,0
Карта пропала из списка.,Напишите позже.,1,0,0,0
Что делать дальше?,Идите в отделение.,1,0,0,0
Когда заработает приложение?,Ожидайте завершения проведения технических мероприятий.,1,0,0,1
Почему операция висит?,Дождитесь окончания обработки запроса.,1,0,0,1
Как получить выписку?,Подайте соответствующее обращение через предусмотренный раздел.,1,0,0,1
Баланс неверный.,Осуществите повторный вход после завершения синхронизации.,1,0,0,1
Не открывается счёт.,Ожидайте завершения выполнения внутренних процедур.,1,0,0,1
Не получается оплатить.,Читайте внимательно подсказки.,1,0,1,0
Я случайно удалил шаблон.,Не путайте кнопки.,1,0,1,0
Почему карта не работает?,"Сначала разберитесь, что нажимаете.",1,0,1,0
Не вижу вклад.,Ищите лучше.,1,0,1,0
Как вернуть деньги?,Перестаньте делать такие ошибки.,1,0,1,0
Почему не проходит перевод?,"Изучите условия внимательнее, прежде чем обращаться повторно.",1,0,1,1
У меня ошибка при входе.,"Ознакомьтесь с инструкцией, ваши действия были некорректны.",1,0,1,1
Где найти договор?,Перейдите в соответствующий раздел и прекратите путать документы.,1,0,1,1
"Не понимаю, что произошло.",Изучите порядок обслуживания. Причина заключается в вашей невнимательности.,1,0,1,1
Почему списали деньги?,"Проверьте условия обслуживания, а не обвиняйте систему.",1,0,1,1
Хочу закрыть кредитку.,"Для этого зайдите в раздел 'Кредиты', выберите карту и нажмите 'Закрыть счет'. Убедитесь, что на ней нет задолженности.",0,0,0,0
Где найти банкомат?,"Добрый день! На карте в приложении показаны все ближайшие банкоматы. Включите геолокацию, чтобы было удобнее.",0,0,0,0
Какой процент по вкладу 'Максимальный'?,Ставка составляет 15% годовых при открытии на год. Начислим проценты в конце срока.,0,0,0,0
Не могу перевести деньги.,Давайте разбираться. Выдает какую-то ошибку или просто не нажимается кнопка?,0,0,0,0
"Здравствуйте, как оформить страховку для выезда за рубеж?",Приветствую. Это можно сделать в разделе 'Страхование' -> 'Путешествия'. Полис придет на почту через пару минут после оплаты.,0,0,0,0
Где посмотреть мои подписки?,Сведения о подключенных сервисах локализованы в соответствующем разделе профиля.,0,0,0,1
Как оплатить штраф?,Погашение административных взысканий осуществляется посредством ввода УИН в меню платежей.,0,0,0,1
Мне не пришел пуш.,Доставка push-уведомлений может быть задержана ввиду технических особенностей функционирования сотовых сетей.,0,0,0,1
Хочу выпустить детскую карту.,"Эмиссия дополнительных платежных инструментов для лиц, не достигших совершеннолетия, инициируется законным представителем.",0,0,0,1
Заблокируйте мою карту.,Процедура приостановки действия электронного средства платежа выполнена.,0,0,0,1
"Куда нажать, чтобы перевести?","На большую кнопку 'Переводы'. Сложно не заметить, она прямо по центру экрана.",0,0,1,0
Почему у меня списали 100 рублей?,"Потому что вы сами подключили СМС-банк. Думать надо, прежде чем везде галочки ставить.",0,0,1,0
Я забыл кодовое слово.,"Такие вещи надо записывать, а не полагаться на свою дырявую память. Придется идти в офис.",0,0,1,0
Я случайно отправил деньги не по тому номеру.,"Банк не нянька, чтобы следить за вашими оплошностями. Сами ошиблись, сами и разбирайтесь с получателем.",0,0,1,0
Как открыть брокерский счет?,"С вашим уровнем финансовой грамотности я бы не советовал лезть в инвестиции. Но если очень хочется, кнопка в главном меню.",0,0,1,0
Почему не работает оплата по NFC?,Ввиду вашей технической некомпетентности вы не произвели настройку модуля бесконтактной оплаты в терминале.,0,0,1,1
Мне заблокировали личный кабинет!,Приостановка доступа осуществлена вследствие вашего систематического нарушения элементарных правил информационной безопасности.,0,0,1,1
"Я потерял договор, что делать?",Утрата юридически значимой документации свидетельствует о вашей крайней безответственности. Запросите дубликат в отделении.,0,0,1,1
Как получить выписку?,"Генерация отчета доступна в приложении. Поразительно, что вы не в состоянии освоить столь примитивный функционал пользовательского интерфейса.",0,0,1,1
Сделайте реструктуризацию долга.,Ваша финансовая несостоятельность не является базисом для изменения кредитного договора. Учитесь планировать бюджет.,0,0,1,1
Как закрыть счет?,Отправьте заявку через приложение.,1,0,0,0
Не работает оплата в интернете.,Идите в настройки и включите лимиты на покупки в сети.,1,0,0,0
Как заказать наличные?,"Напишите сумму и отделение, куда планируете прийти.",1,0,0,0
Мне нужно поменять номер.,Берите паспорт и идите в ближайший офис.,1,0,0,0
Почему не приходит смс?,Перезагрузите телефон.,1,0,0,0
Я сменил фамилию.,Незамедлительно предоставьте актуализированные удостоверяющие документы в офис.,1,0,0,1
Не могу войти с нового телефона.,Осуществите повторную аутентификацию в системе.,1,0,0,1
Как узнать остаток по кредиту?,Ознакомьтесь с выпиской по ссудному счету.,1,0,0,1
Мне звонили мошенники.,Прекратите вербальный контакт с третьими лицами и заблокируйте средства платежа.,1,0,0,1
Куда писать жалобу?,Сформируйте официальную претензию в письменном виде.,1,0,0,1
Как перевести по номеру телефона?,"Откройте вкладку 'Переводы'. Разуйте глаза, это первая же кнопка в меню.",1,0,1,0
Не работает приложение.,Обновите его. Неужели так сложно догадаться до таких элементарных вещей?,1,0,1,0
Где реквизиты?,"Нажмите на карту. Хватит задавать глупые вопросы, все написано черным по белому.",1,0,1,0
Как оплатить по QR-коду?,"Наведите камеру на квадрат. Соображайте быстрее, это технологии десятилетней давности.",1,0,1,0
Я потерял карту.,"Немедленно блокируйте ее в приложении. Учитесь следить за своими вещами, чтобы не создавать проблем.",1,0,1,0
Почему отказ по кредиту?,"Прекратите направлять бессмысленные запросы. Изучите кредитную политику организации, чтобы осознать собственную некомпетентность.",1,0,1,1
Не могу оплатить квитанцию.,"Введите корректный идентификатор плательщика. Поразительно, что вы не способны безошибочно осуществить ввод числовых данных.",1,0,1,1
Как получить справку?,Самостоятельно инициируйте процесс генерации документа. Хватит демонстрировать абсолютную несостоятельность в использовании функционала.,1,0,1,1
Карта не читается терминалом.,Осуществите протирку чипа. Ваше халатное отношение к правилам эксплуатации физических носителей приводит к их порче.,1,0,1,1
Списали деньги дважды.,"Ожидайте автоматического аннулирования дублирующей транзакции. Прекратите панику, вызванную вашим тотальным непониманием принципов эквайринга.",1,0,1,1
Как активировать новую кредитку?,В приложении выберите ее на главном экране и нажмите кнопку активации.,0,0,0,0
Мне нужна выписка для визы.,"Сейчас все сделаем. Подскажите, за какой именно период вам нужен документ?",0,0,0,0
"Случайно удалил приложение, деньги не пропадут?","Не волнуйтесь, все средства привязаны к вашему счету. Просто скачайте приложение заново и войдите по номеру телефона.",0,0,0,0
Какая у меня сейчас процентная ставка по ипотеке?,Добрый вечер! Всю информацию по ипотеке можно найти во вкладке кредитов. Там указана точная ставка и график платежей.,0,0,0,0
Можно поменять дату списания по кредиту?,"Да, эту опцию можно подключить в настройках кредитного счета.",0,0,0,0
Где взять реквизиты?,Сведения о банковских реквизитах предоставляются в соответствующем модуле системы.,0,0,0,1
Как закрыть вклад?,Процедура расторжения договора банковского вклада доступна для реализации.,0,0,0,1
Не проходит платеж.,Инициировано проведение технического аудита по вашему обращению.,0,0,0,1
Где банкомат?,Местоположение устройств самообслуживания зафиксировано на интерактивной карте.,0,0,0,1
Я потерял карту.,Осуществляется блокировка утраченного платежного средства.,0,0,0,1
Как перевести по номеру телефона?,По номеру телефона переводят в разделе переводов. Как можно было этого не заметить?,0,0,1,0
Сколько стоит обслуживание?,Специально для особо одаренных: зайдите в тарифы и посмотрите.,0,0,1,0
У меня не работает оплата по QR.,"Камеру протрите. Вечно у вас техника виновата, а не кривые руки.",0,0,1,0
Почему не начислен кэшбэк?,Кэшбэк начислен. Учитесь считать свои копейки внимательнее.,0,0,1,0
Забыл пароль от приложения.,"Я выслал вам временный код. Тренируйте память, чтобы не дергать нас каждый день.",0,0,1,0
Хочу оформить страховку.,Процесс оформления полиса доступен в меню. Ваша неспособность к восприятию элементарного интерфейса удручает.,0,0,1,1
Как узнать лимит по карте?,Информация о лимитировании операций локализована в настройках. Некомпетентность в поиске базовых данных поразительна.,0,0,1,1
Не могу войти в личный кабинет.,Произведен сброс параметров аутентификации. Халатное отношение к хранению учетных данных является вашей личной проблемой.,0,0,1,1
Где история операций?,Формирование транзакционной выписки реализовано на главной странице. Ваше невежество замедляет работу службы.,0,0,1,1
Как открыть брокерский счет?,Инициация открытия инвестиционного счета возможна. Однако ваша тотальная финансовая безграмотность ставит под сомнение целесообразность данного шага.,0,0,1,1
Где реквизиты?,Нажмите на номер счета и скопируйте данные.,1,0,0,0
Не могу оплатить счет.,Немедленно пополните баланс карты.,1,0,0,0
Как закрыть вклад?,Зайдите во вклады и нажмите кнопку закрытия.,1,0,0,0
Я потерял карту.,Заблокируйте ее.,1,0,0,0
Мне не пришел пуш.,Ждите уведомление.,1,0,0,0
Как узнать тариф?,Осуществите переход в раздел нормативной документации.,1,0,0,1
Почему списали деньги?,Проанализируйте выписку о движении денежных средств.,1,0,0,1
Не работает бесконтактная оплата.,Произведите деактивацию и повторную инициализацию модуля.,1,0,0,1
Как заказать наличные?,Сформируйте предварительную заявку на инкассацию.,1,0,0,1
Я сменил паспорт.,Предоставьте актуализированные идентификационные данные в офис.,1,0,0,1
Где найти банкомат?,"Откройте карту в приложении. Разуйте глаза, там все показано.",1,0,1,0
Не проходит оплата.,"Введите нормальный пин-код, а не тыкайте наугад.",1,0,1,0
Как перевести деньги?,Нажмите на кнопку перевода. Соображайте уже быстрее.,1,0,1,0
Что с моим кэшбэком?,"Проверяйте историю операций. Учитесь самостоятельно искать информацию, не маленькие.",1,0,1,0
У меня заблокировали вход.,Вспоминайте свой пароль. Хватит тратить наше время на ваши провалы в памяти.,1,0,1,0
Не могу добавить карту в телефон.,Произведите токенизацию согласно инструкции. Ваша техническая некомпетентность вынуждает нас повторять элементарные вещи.,1,0,1,1
Где договор?,Изучите раздел пользовательских соглашений. Немедленно ликвидируйте свою юридическую безграмотность.,1,0,1,1
Как закрыть счет?,Инициируйте процедуру расторжения договора. Хватит демонстрировать абсолютное непонимание банковских процессов.,1,0,1,1
Почему сняли комиссию?,Ознакомьтесь с актуальными тарифами. Ваша неспособность к анализу текстовой информации поражает.,1,0,1,1
Как получить справку?,Сгенерируйте фискальный документ самостоятельно. Перестаньте перекладывать на нас свои обязанности.,1,0,1,1
"Поменяйте мне тарифный план на старый.","Мы не сможем вернуть старые условия обслуживания.",0,1,0,0
"Можете отменить мой последний перевод по СБП?","Я не стану отменять этот перевод.",0,1,0,0
"Вышлите мне копию договора на почту.","Нет, мы не будем отправлять вам копию.",0,1,0,0
"Снизьте мне лимит по карте.","Банк не будет менять ваши лимиты в данный момент.",0,1,0,0
"Перенесите дату платежа по ипотеке на пятое число.","Я ничем не смогу помочь с датой платежа.",0,1,0,0
"Отмените комиссию за обслуживание в этом месяце.","Мы не можем вернуть списанную комиссию.",0,1,0,0
"Подключите мне овердрафт.","В этой ситуации у меня не получится вам помочь.",0,1,0,0
"Закройте мой счет удаленно.","Я не буду закрывать ваш счет.",0,1,0,0
"Можно мне увеличить кредитный лимит до миллиона?","Вам отказано в предоставлении такого лимита.",0,1,0,0
"Одобрите заявку на потребительский кредит.","К сожалению, банк больше ничего не может сделать по вашей заявке.",0,1,0,0
"Выдайте справку о доходах за прошлый год.","Удовлетворение запроса на формирование указанного документа не представляется возможным.",0,1,0,1
"Можно перенести платеж по кредиту?","Модификация графика аннуитетных платежей не подлежит исполнению.",0,1,0,1
"Снимите арест с моей зарплатной карты.","Процедура снятия ограничений с расчетного счета клиента недоступна для реализации.",0,1,0,1
"Сделайте выписку на английском языке.","Генерация документации с использованием иностранных языков отклонена.",0,1,0,1
"Уменьшите процентную ставку.","Основания для изменения условий кредитного договора отсутствуют.",0,1,0,1
"Оспорьте списание от интернет-магазина.","Инициирование процедуры чарджбэка по данной транзакции не осуществляется.",0,1,0,1
"Подключите кэшбэк на супермаркеты.","Активация бонусного функционала для указанной категории торгово-сервисных предприятий не предусмотрена.",0,1,0,1
"Переведите деньги на счет в другом банке.","Осуществление межбанковского перевода денежных средств отклонено.",0,1,0,1
"Замените мне карту раньше срока.","Досрочная эмиссия электронного средства платежа не может быть выполнена.",0,1,0,1
"Верните деньги за платное смс-информирование.","Компенсация тарифных сборов за оказанные услуги связи не производится.",0,1,0,1
"Отмените перевод мошенникам!","Ничем не могу помочь, банк за вашу глупость не платит.",0,1,1,0
"Повысьте мне кредитный лимит.","Мы не станем выдавать больше денег клиенту, который не умеет зарабатывать.",0,1,1,0
"Верните комиссию за перевод.","Я не собираюсь ничего возвращать, надо было читать условия, а не просто так нажимать кнопки.",0,1,1,0
"Почему мне отказали в кредите?","Я не буду это объяснять. И так понятно, что ваша кредитная история оставляет желать лучшего.",0,1,1,0
"Разблокируйте мне карту.","Больше ничего сделать нельзя. В следующий раз будете думать головой, прежде чем нарушать правила.",0,1,1,0
"Помогите заполнить реквизиты.","Я не буду делать за вас вашу работу. Вы взрослый человек, а с цифрами разобраться не можете.",0,1,1,0
"Выдайте мне премиальную карту.","Вам отказано. С вашими копеечными оборотами даже смешно просить о премиум-обслуживании.",0,1,1,0
"Закройте счет, я ухожу в другой банк.","Скатертью дорога, я не буду вас отговаривать. Такие финансово безграмотные клиенты нам не нужны.",0,1,1,0
"Отключите страховку по кредиту.","Нет, я это не сделаю. Вы сами подписали договор не глядя, вот теперь и мучайтесь.",0,1,1,0
"Как мне поменять пин-код?","Я не буду вам это объяснять, раз вы не в состоянии найти огромную кнопку в настройках.",0,1,1,0
"Одобрите заявку на ипотеку.","Рассмотрение вашего ходатайства отклонено. Ваша вопиющая финансовая несостоятельность не позволяет банку принимать подобные риски.",0,1,1,1
"Верните страховку по кредиту.","Процедура возврата страховой премии недоступна. Ваше тотальное невежество в вопросах юриспруденции не является поводом для отмены договора.",0,1,1,1
"Разблокируйте мой расчетный счет.","Снятие блокировки не подлежит исполнению. Систематическое нарушение вами базовых норм финансовой безопасности свидетельствует об абсолютной некомпетентности.",0,1,1,1
"Предоставьте мне льготный период.","Активация беспроцентного периода невозможна. Ваше неумение планировать личный бюджет является исключительно вашей проблемой.",0,1,1,1
"Удалите мои данные из базы.","Уничтожение персональных данных не производится. Хватит демонстрировать абсолютное незнание федерального законодательства.",0,1,1,1
"Выдайте выписку за десять лет.","Формирование архивной отчетности не осуществляется. Ваша неспособность вести учет документации поражает.",0,1,1,1
"Перенесите платеж на другой день.","Модификация графика выплат недоступна. Подобное легкомысленное отношение к обязательствам недопустимо.",0,1,1,1
"Снимите арест с моей карты.","Аннулирование исполнительного производства со стороны банка не представляется возможным. Разбирайтесь со своими долгами самостоятельно.",0,1,1,1
"Отмените подписку на сторонний сервис.","Удовлетворение запроса невозможно. Ваша безалаберность при использовании платежных реквизитов в интернете не входит в зону нашей ответственности.",0,1,1,1
"Переведите мою ипотеку в другой банк.","Процедура рефинансирования с нашей стороны не инициируется. Самостоятельно расхлебывайте последствия своей недальновидности.",0,1,1,1
"Повысьте лимит снятия наличных на один день.","Мы не будем ничего повышать. Ожидайте завтрашнего дня.",1,1,0,0
"Отмените штраф за просрочку.","Отказ. Погасите задолженность прямо сейчас.",1,1,0,0
"Я забыл кодовое слово, разблокируйте доступ.","Я не буду ничего разблокировать. Идите в отделение банка с паспортом.",1,1,0,0
"Пришлите мне реквизиты счета в чат.","Мы не рассылаем реквизиты. Зайдите в приложение и скопируйте их оттуда.",1,1,0,0
"Отключите мне пуш-уведомления.","Я не могу вам это отключить. Ищите настройки в своем телефоне.",1,1,0,0
"Оформите мне кредитку.","Отказано. Заполните заявку на сайте самостоятельно.",1,1,0,0
"Закройте мой счет по телефону.","Я не закрою счет. Приходите в офис лично.",1,1,0,0
"Перевыпустите мне карту бесплатно.","Бесплатно не получится. Оплатите комиссию.",1,1,0,0
"Удалите историю моих переводов.","Я не буду это удалять. Смиритесь с этим.",1,1,0,0
"Увеличьте мне ставку по действующему вкладу.","Ставка не изменится. Перестаньте присылать такие запросы.",1,1,0,0
"Сделайте реструктуризацию моего долга.","Удовлетворение заявки на пролонгацию кредитного договора отклонено. Незамедлительно внесите минимальный платеж.",1,1,0,1
"Снимите блокировку с интернет-банка.","Аннулирование ограничений не осуществляется. Явитесь в подразделение кредитной организации для идентификации.",1,1,0,1
"Отмените комиссию за снятие в чужом банкомате.","Компенсация комиссионных издержек не допускается регламентом. Изучите тарифную сетку.",1,1,0,1
"Закройте ИИС дистанционно.","Дистанционная ликвидация индивидуального инвестиционного счета недоступна. Направьте письменное заявление по форме банка.",1,1,0,1
"Верните деньги за билеты, рейс отменили.","Инициирование процедуры чарджбэка не производится. Направьте официальную претензию в адрес перевозчика.",1,1,0,1
"Измените мне кодовое слово.","Модификация контрольной информации через данный канал связи отклонена. Осуществите личный визит к менеджеру.",1,1,0,1
"Выдайте справку об уплаченных процентах на бумаге.","Формирование документации на бумажном носителе не реализовано. Воспользуйтесь электронным функционалом системы.",1,1,0,1
"Поменяйте мне валюту кредита.","Конвертация ссудной задолженности не представляется возможным. Исполняйте обязательства в исходной валюте договора.",1,1,0,1
"Заблокируйте счет мошенника.","Блокировка реквизитов третьих лиц не подлежит исполнению. Составьте заявление в правоохранительные органы.",1,1,0,1
"Отмените автоплатеж за ЖКХ.","Деактивация услуги автоматического списания средств оператором не осуществляется. Произведите отключение сервиса самостоятельно.",1,1,0,1
